,unique,outcome_type,description_fi,description_en
1434,57Äänekosken kaupunkiÄänekosken opetuspalveluiden tutoropettajien vertaiskoulutus-hanke,julkaisu,"pedanet -ympäristössä digitutoreiden omassa käytössä oleva sivustossa, josta löytyy mm. koulutuksen tueksi soveltuvia materiaaleja","in the pedanet environment on the website used by digitutors, where you can find e.g. materials suitable for training"
1435,57Äänekosken kaupunkiÄänekosken opetuspalveluiden tutoropettajien vertaiskoulutus-hanke,toimintamalli,"Digitutoreille on oma toimintasuunnitelma, jota he noudattavat suunnitellessaan toimintaa. ",Digitutors have their own action plan that they follow when planning activities.
1436,57Rauman kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen Raumalla,julkaisu,"Olemme luoneet tutorkoulutukselle ja - toiminnalle sivun Peda.net-verkkoalustalle. Sivusto ei ole kaikilta osin julkinen.Tarkoituksenamme on kehittää sivustoa alkaneella uudella rahoituksella ja luoda sivustot, jonne tehdään/kuvataan koulutuspaketteja koulujen tilattavaksi. ",We have created a page for tutor training and activities on the Peda.net web platform. The site is not fully public. Our intention is to develop the site with the new funding that has started and to create sites where educational packages are made / described for schools to order.
1437,57Ruoveden kuntaPirkanmaan tutoropettajien koulutusohjelma/Ruoveden kunta,tapahtuma,Opettajille järjestettiin  koulutustilaisuuksia  liittyen tietotekniikan hyväksikäyttöön opetuksessa.,Training sessions were organized for teachers related to the use of information technology in teaching.
1438,57Ruoveden kuntaPirkanmaan tutoropettajien koulutusohjelma/Ruoveden kunta,tutkimus,Opettajille tehdyllä kyselyllä kartoitettiin tutor-toiminnan tarvetta ja arvioitiin tutortoiminnankautta saatuja hyötyjä.,A survey of teachers mapped the need for tutoring and assessed the benefits gained during the tutoring period.
1439,57Kuopion kristillisen päiväkodin ja koulun kannatusyhdistys ryKukrin Tutoropettajakoulutushanke,toimintamalli,Robotiikkaa (Robbo) matematiikan opetuksessa sekä ohjelmoinnissa; valmistelua ja kouluttautumista sekä varsinaista oppituntitoimintaa.,Robotics (Robbo) in mathematics teaching and programming; preparation and training as well as the actual lesson activities.
1440,57Kuopion kristillisen päiväkodin ja koulun kannatusyhdistys ryKukrin Tutoropettajakoulutushanke,toimintamalli,Digitaalisten oppimisympäristöjen käytön lisääminen ja kehittäminen mm. koulumatematiikka.fi. Tässä on hyödynnetty myös muiden koulujen kokemuksia ja jaettu omaa tietoa.,"Increasing and developing the use of digital learning environments e.g. koulumatematiikka.fi. Here, the experiences of other schools have also been utilized and their own knowledge has been shared."
1441,57Ruskon kuntaErkolla tutoriksi,julkaisu,"Rukson kunnan Laukolan koulussa oppilaat saavat henkilökohtaisen laitteen jo alkuopetusikäisinä. Jotta laitteet saadaan heti käyttöön niin, että niillä on pedagogisesta näkökulmasta järkevää käyttöä, toisen opettajan Erko-opintojen kehittämishankkeena on luoda materiaalia kunnan 2.luokan opettajille Opentunti-alustalle. Näin kaikki opettajat saavat vinkkejä henkilökohtaisten laitteiden (iPad) hyödyntämiseen tunneilla. Alla linkki esimerkkikurssiin.","At the Laukola school in the municipality of Rukso, students receive a personal device as early as primary school. In order for the equipment to be used immediately so that it has a sensible use from a pedagogical point of view, the project for developing another teacher&#39;s Erko studies is to create material for the municipality&#39;s 2nd grade teachers on the Study Platform. This gives all teachers tips on how to use personal devices (iPads) in class. Below is a link to an example course."
1442,57Ruskon kuntaErkolla tutoriksi,julkaisu,"Erkon yksi opintojakso oli tuottaa videomateriaalia. Alla linkki blogiin, jossa esitellään videokurssia ja sen tuotoksia. (27.2.2018 kurssi vielä kesken) ",One of Erko&#39;s courses was to produce video material. Below is a link to a blog that introduces the video course and its outputs. (27.2.2018 course still in progress)
1443,57Ruskon kuntaErkolla tutoriksi,julkaisu,"Erkon yksi opintojakso oli tuottaa monimediatuotos. Alla linkki blogiin, jossa esitellään se. (27.2.2018 kurssi vielä kesken) ",One of Erko&#39;s courses was to produce a multimedia product. Below is a link to a blog that introduces it. (27.2.2018 course still in progress)
1444,57Ruskon kuntaErkolla tutoriksi,julkaisu,Merttelän koulun opettajan Erko-opintojen kehittämishankkeena on luoda materiaalia kunnan 4.luokan opettajille ympäristöoppiin Opentunti-alustalle. Näin kaikki opettajat saavat vinkkejä henkilökohtaisten laitteiden (iPad) hyödyntämiseen tunneilla. Kesken.,The Merttelä school teacher&#39;s Erko studies development project is to create material for the municipality&#39;s 4th grade teachers on the Opentunti platform for environmental studies. This gives all teachers tips on how to use personal devices (iPads) in class. In progress.
1445,57Sauvon kuntaTutoropettajien koulutus ja osaamisen kehittäminen,toimintamalli,"Hankkeen aikana kehitettiin vuonna 2016 aloitettua mallia digitutoreiden toiminnasta kouluilla. Digitutorit toimivat pääsääntöisesti samanaikaisopettajina kouluilla siten, että tutoropettaja osallistuu yhdessä tutoroitavan opettajan kanssa aiheen suunnitteluun, toteutukseen ja jälkiarviointiin.Hankkeen aikana suunniteltiin tapahtumaa koulujen toimintakulttuurin ja digitalisaation edistämiseksi, joka toteutettiin seuraavassa hankkeessa.","During the project, a model started in 2016 for the operation of digital printers in schools was developed. The digital tutors mainly act as co-teachers in the schools, with the tutor participating together with the tutor in the planning, implementation and ex-post evaluation of the topic. During the project, an event was planned to promote school culture and digitization in the next project."
1446,57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,julkaisu,"Perustettiin Tampereen kristillisen koulun fb-ryhmä jossa jaetaan löydettyjä, pohdittuja  ja koeteltuja artikkeleita ja toimintaideoita.","The fb group of Tampere Christian School was founded to share discovered, considered and tested articles and action ideas."
1447,57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,toimintamalli,3D-tulostuksen opettamisen mallinnus,Modeling the teaching of 3D printing
1448,57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,tapahtuma,Kolme koulutustapahtumaa digitalisaatioon liittyen ja arviointiin liittyen,Three training events related to digitization and evaluation
1449,57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,tutkimus,Kartoitus koulussa käytettävistä tietokoneohjelmista ja opettajien tarpeista,A mapping of the computer programs used in the school and the needs of the teachers
1450,57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,tapahtuma,Arviointikoulutus,Evaluation training
1451,57Tervolan kuntaTervolan kunnan tutoropettajien koulutushanke,toimintamalli,"Meri-Lapin kunnat organisoivat ja hankkivat yhteisen tutoropettajakoulutuskokonaisuuden, jossa tutoreiden osalta toteutui seuraavia asioita:-Tutoropettajatoiminnan kannalta keskeisten pedagogisten ja opetussuunnitelmallisten asioiden osaaminen.-Organisointitaidot tutoropettajatoimintaa varten.-Digiosaamisen vahvistuminen.-Verkostoituminen alueen muiden tutoropettajien kanssa.","The municipalities of Meri-Lapland organized and acquired a joint tutor teacher training package, in which the following things were realized for tutors:"
1452,57Tampereen Steiner-kouluyhdistys ryTope-koulutus 2017-18,,"Tope-koulutuksen tuloksena ei ole syntynyt mitään varsinaisia tuotoksia, ainoastaan parina hankkeen jälkeisenä vuonna toteutettu käytäntö, jossa yksi osa-aikainen tutor-opettaja ohjaa ja kouluttaa muita opettajia digiopetuksessa.","As a result of the Tope training, no actual outputs have emerged, only a practice implemented in the couple of years after the project, where one part-time tutor instructs and trains other teachers in digital teaching."
1453,57Sipoon kunta/KoulutuspalvelutVertaistuella visionääriksi - Tutoropettajien koulutus Sipoossa,julkaisu,TUTORIEN KOULUTUS ,TUTOR TRAINING
1454,57Sipoon kunta/KoulutuspalvelutVertaistuella visionääriksi - Tutoropettajien koulutus Sipoossa,tapahtuma,"Ideakahvila - Idécafé, jossa tutorit ja digiopettajat kohtaavat ja jakavat käytännön ideoita opetuksesta.","Idea Café - Idécafé, where tutors and digital teachers meet and share practical ideas about teaching."
1455,57Salon kaupunkiTutoropettaja pedagogisena asiantuntijana,toimintamalli,Koulutuksen toteuttaminen yhteistyössä Turun yliopiston oppimisanalytiikan laitoksen kanssa ja Ilona It:n kanssa.Opettajat ovat toimineet hankkeen tavoitteiden mukaisesti vuorovaikutteisina kehittäjäopettajina. Tutorit ovat olleet mukana tukemassa osallistavien ja innostavien oppimismenetelmien kehittämistä ja käyttöönottoa. Tutorit ovat tukeneet opettajia digitaalisen ja oppimista tukevien teknologioiden tarkoituksenmukaista hyödyntämistä.,Implementation of the training in cooperation with the Department of Learning Analytics of the University of Turku and Ilona It. The teachers have acted as interactive developer teachers in accordance with the objectives of the project. Tutors have been involved in supporting the development and implementation of inclusive and inspiring learning methods. Tutors have supported teachers in the appropriate use of digital and learning technologies.
1456,57Riihimäen kaupunkiTutoropettaja oppii,muu-tuotos,Tutoropettajien on tärkeää osallistua valtakunnallisiin ja maakunnallisiin koulutustilaisuuksiin. On tärkeää luoda myös verkostoja lähikuntien kanssa ja vertailla kokemuksia käytännön toteutuksista.,It is important for tutor teachers to participate in national and provincial training events. It is also important to create networks with neighboring municipalities and compare experiences of practical implementations.
1457,"57Turun kaupunki, sivistystoimialaSchola Tutor Aboensis",julkaisu,Tutoropettajien Yammer-sivusto.,Yammer website for tutor teachers.
1458,57Turun seudun steinerkouluyhdistys ryUusi peruskoulu- ohjelma,muu-tuotos,Tutor-opettaja on tehnyt kirjalliset ohjeet kaikille opettajille koulussa oppilaiden käytössä olevien ohjelmistojen käyttämiselle. Ohjeistukset löytyvät tietokoneluokasta sekä jokaisen opettajan omalta Wilma-tililtä. Tutor-opettaja on työstänyt myös ohjeistuksen Classroom-työskentelyyn. Muu tutor-opettajan toiminta on ollut opettajien koulutusta ja henkilökohtaista neuvontaa.,The tutor teacher has made written instructions for all teachers at the school to use the software used by the students. Instructions can be found in the computer class and in each teacher&#39;s own Wilma account. The tutor teacher has also worked on guidelines for classroom work. Other activities of a tutor teacher have been teacher training and personal counseling.
1459,57Kustavin kuntaVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen/Kustavi,tapahtuma,"Tutoropettajien koulutus 4x6h järjestettiin Vakka-Suomen alueella seutukunnallisesti. Koulutuksessa opettajat pääsivät verkostoitumaan, kehittämään osaamistaan tutoropettajana ja jakamaan hyviä käytänteitä. Koulutuksen toteutti Edita.","Tutor teacher training 4x6h was organized in the region of Vakka-Suomi regionally. In the training, teachers were able to network, develop their skills as tutors and share good practices. The training was carried out by Edita."
1460,57Kuhmoisten kuntaTutoropen osaaminen Kuhmoisissa,toimintamalli,"Tutoropettaja ottanut vastuun koulun tablettien ylläpidosta, varauksista ja ohjauksesta. Googledocs otettu käyttöön. ","The tutor has taken responsibility for the maintenance, booking and guidance of the school tablets. Googledocs enabled."
1461,57Tuusniemen kuntaTutoropettajien koulutus ja osaaminen,toimintamalli,"Tutoropettaja on osallistunut valtakunnallisiin ja alueellisiin koulutustilaisuuksiin (mm. ITK2017-konferenssi Hämeenlinnassa huhtikuussa 2017, Osaava-hankkeen digitutor-koulutus Iisalmessa toukokuussa 2017) sekä käynyt tutustumassa naapurikuntien digiasioihin (mm. laitteet, käytössä olevat ohjelmistot ja sovellukset) sekä muihin ratkaisuihin.  Webinaarit sekä tutustumiset ja yhteistyö mm. Joensuun normaalikoulun ja naapurikuntien digitutoreiden kanssa.Lisäksi tutorhankkeen kautta on järjestetty vuosiluokkien 0.-6. opettajille 3 tuntia kestänyt koulutustilaisuus, jossa opettajia on perehdytetty tabletlaitteiden ja niille & alaluokille sopivien sovellutusten käyttöön ","The tutor has participated in national and regional training events (eg ITK2017 conference in Hämeenlinna in April 2017, Digitor training of the Osaava project in Iisalmi in May 2017) and got acquainted with digital issues in neighboring municipalities (eg equipment, software and applications in use) and other solutions. Webinars as well as acquaintances and cooperation e.g. With the digital tutors of Joensuu Normal School and the neighboring municipalities. In addition, the 0th-6th grade classes have been organized through a tutoring project. a 3-hour training session for teachers, where teachers are introduced to the use of tablet devices and applications suitable for them &amp; subclasses"
1462,57Tuusulan kuntaTutoropettaja uuden opetussuunnitelman tukena,toimintamalli,"Nettisivuilla esitellään Tuusulan kunnassa toimivat kuntakohtaiset tutorit. Profiilikuvauksista löytyy tutoreiden osaamisalueita, yhteystiedot sekä kalenteri.  ","The website presents municipality-specific tutors working in the municipality of Tuusula. The profile descriptions include the tutors&#39; areas of expertise, contact information and a calendar."
1463,57Tuusulan kuntaTutoropettaja uuden opetussuunnitelman tukena,toimintamalli,Tutoropettajan käsikirja,Tutor Teacher&#39;s Manual
1464,57Tyrnävän kuntaTukea tutorista-virtaa verkostosta Tyrnävällä,tapahtuma,Kunnan kaikille opettajille suunnattu veso-päivä tammikuussa 2018.Erityisesti iltapäivän koulukohtainen työskentelyosuus toimi tutoropettajien vetämänä.,A veso day for all teachers in the municipality in January 2018. Especially the school-specific work section of the afternoon was led by tutor teachers.
1465,57Loviisan kaupunkiTutorit apuun - kahdella kielellä,julkaisu,Några skolor har egna FB-sidor. Finska skolan har egen blogg. Hemsidor via Peda.net. ,Some schools have their own Facebook pages. The Finnish school has its own blog. Websites via Peda.net.
1466,57Uudenkaupungin kaupunki / SivistyspalvelukeskusVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen / Uusikaupunki,toimintamalli,"Hankkeen kautta käynnistimme alueellisen, pienten kuntien tutorkoulutusverkoston, jonka kautta mahdollistimme kattavan peruskoulutuksen kaikille alueen tutoreille. Ilman yhteistyötä näin kattava koulutus ei olisi onnistunut.","Through the project, we launched a regional tutoring training network for small municipalities, through which we enabled comprehensive basic training for all tutors in the area. Without cooperation, such comprehensive training would not have been successful."
1467,57Varkauden kaupunki sivistyspalvelutTutor-opettajat,toimintamalli,"Joensuun normaalikoulun järjestämä vuoden mittainen koulutus, joka sisälsi neljä lähipäivää ja kehittämistehtäviä. Keski-Savon kuntien digitutorit muodostivat koulutuksessa oma verkoston.","A year-long training organized by Joensuu Normal School, which included four days and development assignments. The digital tutors of the municipalities of Keski-Savo formed their own network in education."
1468,"57Vehmaan kunta, koulutoimiVakka-Suomen tutoropettajien koulutushanke",muu-tuotos,Tutoropettajien toiminta kouluilla vastaa hankkeen tuotosta.,The activities of tutor teachers in schools are responsible for the output of the project.
1469,57Kempeleen kuntaTutoropettajien koulutus ja osaamisen kehittäminen,toimintamalli,Suunnitelma tutoreiden kouluttamiseksi,A plan for training tutors
1470,57Vesannon yhtenäiskouluOPS2016 todeksi.,,Alkuun on päästy ja koulutus jatkuu.,The beginning has been reached and the training continues.
1471,57Vesilahden kuntaPirkanmaan tutoropettajien koulutusohjelma,tutkimus,"Pirkanmaan tutoropettajakoulutuksen arviointi 2017, Päivi Nilivaara ja Irmeli Halinen. Ulkoisesti tehdyssä raportissa arvioidaan Pirkanmaan alueellisen tutoropettajakoulutuksen koettua laatua ja hyötyä tutoropettajien työssä sekä kuvataan toiminnan organisoitumista kunnissa. Raportissa esitetään myös muutamia ehdotuksia tulevien koulutusten suunnittelussa ja toteutuksessa sekä tutoreiden verkostotyöskentelyssä huomioitavaksi.","Evaluation of tutor teacher training in Pirkanmaa 2017, Päivi Nilivaara and Irmeli Halinen. The external report assesses the perceived quality and benefits of Pirkanmaa&#39;s regional tutor training in the work of tutor teachers and describes the organization of activities in the municipalities. The report also makes a few suggestions to consider in the planning and implementation of future training and in the networking of tutors."
1472,57Vesilahden kuntaPirkanmaan tutoropettajien koulutusohjelma,toimintamalli,"Toimintamalli laajana verkostoyhteistyönä toteutetusta osaamisen kehittämisen hankkeesta, jossa resursseja yhdistämällä pystyttiin tuottamaan lisäarvoa. Hankkeen lähtökohdat olivat korkea laatu, verkostoituminen, osaamisen jakaminen ja valinnaisuus. Käytännössä nämä mahdollistuivat riittävän volyymin ja koulutusohjelman rakenteen avulla. Volyymi mahdollistaa korkeatasoisten asiantuntijoiden hyödyntämisen ja tutoreiden laajan verkostoitumisen sekä valinnaisuuden. Kaksiosaisen rakenne takaa yhteisen viitekehyksen ja perusvalmiudet sekä mahdollisuuden kehittymiseen omista lähtökohdista.","An operating model of a competence development project implemented as an extensive network cooperation, in which it was possible to generate added value by combining resources. The starting points of the project were high quality, networking, sharing of know-how and selectivity. In practice, these were made possible by a sufficient volume and structure of the training program. The volume enables the utilization of high-level experts and the extensive networking and optional nature of tutors. The two-part structure guarantees a common frame of reference and basic capabilities, as well as the opportunity to develop from one&#39;s own starting point."
1473,57Vesilahden kuntaPirkanmaan tutoropettajien koulutusohjelma,julkaisu,"Toimintamalli laajana verkostoyhteistyönä toteutetusta osaamisen kehittämisen hankkeesta, jossa resursseja yhdistämällä pystyttiin tuottamaan lisäarvoa. Hankkeen lähtökohdat olivat korkea laatu, verkostoituminen, osaamisen jakaminen ja valinnaisuus. Käytännössä nämä mahdollistuivat riittävän volyymin ja koulutusohjelman rakenteen avulla. Volyymi mahdollistaa korkeatasoisten asiantuntijoiden hyödyntämisen ja tutoreiden laajan verkostoitumisen sekä valinnaisuuden. Kaksiosaisen rakenne takaa yhteisen viitekehyksen ja perusvalmiudet sekä mahdollisuuden kehittymiseen omista lähtökohdista.","An operating model of a competence development project implemented as an extensive network cooperation, in which it was possible to generate added value by combining resources. The starting points of the project were high quality, networking, sharing of know-how and selectivity. In practice, these were made possible by a sufficient volume and structure of the training program. The volume enables the utilization of high-level experts and the extensive networking and optional nature of tutors. The two-part structure guarantees a common frame of reference and basic capabilities, as well as the opportunity to develop from one&#39;s own starting point."
1474,"57Ylitornion kunta, sivistystoimiTutoropettajien koulutus ja osaamisen kehittäminen",muu-tuotos,Lapin yliopiston kasvatustieteen tiedekunnan hallinnoima hanke Lapin alueella,A project managed by the Faculty of Education of the University of Lapland in the Lapland region
1475,"57Ylitornion kunta, sivistystoimiTutoropettajien koulutus ja osaamisen kehittäminen",muu-tuotos,IlonaIt:n koulutuksen kuvaus,Description of IlonaIt&#39;s training
1476,57Kittilän kuntaKittilä digiloikalla tiedon valtatielle ,toimintamalli,Säänöllinen tutoropettajien tiimitoiminta on alkanut. Samanlla he myös kehittävät Kittilän sivistystoimen TVT-stratediaa.,"Regular teamwork of tutor teachers has begun. At the same time, they are also developing the ICT strategy for Kittilä&#39;s educational work."
1477,57Rautjärven kuntaTietotaitoa bitteihin,toimintamalli,Opettajien kouluttaminen digitutoreiksi.,Training teachers to be digital tutors.
1478,57Toivakan kuntaKärkihanke 1: Tutoropettajien koulutus ja osaamisen kehittäminen,tapahtuma,"24.11.2017 Digioppimisen kehityspäivä Helsingin Ruoholahdessa, Kuntien Tiera Oy. Alaan liittyvien yritysten, asiantuntijoiden, ammattilaisten ja päättäjien kokoontuminen, jossa oli esillä paljon alan viimeisintä tietämystä sekä verkostoitumismahdollisuuksia.","24.11.2017 Digital Learning Development Day in Ruoholahti, Helsinki, Kuntien Tiera Oy. A gathering of companies, experts, professionals and decision-makers in the field, showcasing a lot of the latest knowledge in the field as well as networking opportunities."
1479,57Toivakan kuntaKärkihanke 1: Tutoropettajien koulutus ja osaamisen kehittäminen,tapahtuma,"10.4.2018 Cloudpoint Oy:n järjestämä (puolen päivän) koulutus Toivakan koulukeskuksessa. Kouluttajana toimi Sami Lehesvuori. Aluksi pidettiin kaikille opettajille avoin oppitunti Google Docs-ohjelmasta, minkä jälkeen Lehesvuori koulutti digitutoropettajalle Google suite for Education –pilvipalvelun ylläpitoa digitutoropettajalle.","10/04/2018 Cloud Point Ltd. organized (half-day) training Toivakka School Center. The trainer was Sami Lehesvuori. Initially, a lesson about the Google Docs program was held open to all teachers, after which Lehesvuori trained the digital tutor to maintain the Google suite for Education cloud service for the digital tutor."
1480,57Uuraisten kuntaUuraisten kunnan tutoropettajien koulutus ja osaamisen kehittäminen,toimintamalli,Jokaisella koululla on nimetty tutoropettaja ja verkosto toiii,Each school has a designated tutor and a network of toiii
1481,57Uuraisten kuntaUuraisten kunnan tutoropettajien koulutus ja osaamisen kehittäminen,tutkimus,Hankkeessa kartoitettu myös opettajien taitotasoa koululla.,The project also mapped teachers&#39; skill levels at school.
1482,57Laihian kuntaNuukailematta paras,tapahtuma,Oppilasagentti-koulutus,Student agent training
1483,57Laihian kuntaNuukailematta paras,tapahtuma,Tutor-opettajien koulutus kevät 2017.,Tutor teacher training spring 2017.
1484,57Laihian kuntaNuukailematta paras,tapahtuma,Digiveso lokakuu 2017,Digiveso October 2017
1485,"57Pyhäjoen kuntaTutoreiden koulutus, Pyhäjoki",toimintamalli,Tutoropettajien koulutus ja tutortoiminnan aloittaminen ja käytännön suunnittelu.,Tutor teacher training and tutoring and practical planning.
1486,57Siuntion kuntaMonipuolista tutorointia - opettaja tulevaisuuden taitojen edistäjä,muu-tuotos,"On suunniteltu ja toteutettu oppilasagenttitoimintaa. Oppilasagentit ovat oppilaita, jotka ovat tutoropettajien kanssa tukeneet teknologian käyttämistä oppimisessa. ","Student agent activities have been planned and implemented. Student agents are students who, with tutor teachers, have supported the use of technology in learning."
1487,57Urjalan kuntaPirkanmaan  tutoropettajien koulutusohjelma,tutkimus,"Pirkanmaan tutoropettajakoulutuksen arviointi 2017, Päivi Nilivaara ja Irmeli Halinen. Ulkoisesti tehdyssä raportissa arvioidaan Pirkanmaan alueellisen tutoropettajakoulutuksen koettua laatua ja hyötyä tutoropettajien työssä sekä kuvataan toiminnan organisoitumista kunnissa. Raportissa esitetään myös muutamia ehdotuksia tulevien koulutusten suunnittelussa ja toteutuksessa sekä tutoreiden verkostotyöskentelyssä huomioitavaksi.","Evaluation of tutor teacher training in Pirkanmaa 2017, Päivi Nilivaara and Irmeli Halinen. The external report assesses the perceived quality and benefits of Pirkanmaa&#39;s regional tutor training in the work of tutor teachers and describes the organization of activities in the municipalities. The report also makes a few suggestions to consider in the planning and implementation of future training and in the networking of tutors."
1488,57Urjalan kuntaPirkanmaan  tutoropettajien koulutusohjelma,toimintamalli,"Toimintamalli laajana verkostoyhteistyönä toteutetusta osaamisen kehittämisen hankkeesta, jossa resursseja yhdistämällä pystyttiin tuottamaan lisäarvoa. Hankkeen lähtökohdat olivat korkea laatu, verkostoituminen, osaamisen jakaminen ja valinnaisuus. Käytännössä nämä mahdollistuivat riittävän volyymin ja koulutusohjelman rakenteen avulla. Volyymi mahdollistaa korkeatasoisten asiantuntijoiden hyödyntämisen ja tutoreiden laajan verkostoitumisen sekä valinnaisuuden. Kaksiosaisen rakenne takaa yhteisen viitekehyksen ja perusvalmiudet sekä mahdollisuuden kehittymiseen omista lähtökohdista.","An operating model of a competence development project implemented as an extensive network cooperation, in which it was possible to generate added value by combining resources. The starting points of the project were high quality, networking, sharing of know-how and selectivity. In practice, these were made possible by a sufficient volume and structure of the training program. The volume enables the utilization of high-level experts and the extensive networking and optional nature of tutors. The two-part structure guarantees a common frame of reference and basic capabilities, as well as the opportunity to develop from one&#39;s own starting point."
1489,57Urjalan kuntaPirkanmaan  tutoropettajien koulutusohjelma,julkaisu,FB-ryhmä Pirkanmaan tutoropettajat on toiminut hankkeen yhtenä tiedoitus ja osallistamiskanavana.,The FB group of tutor teachers in Pirkanmaa has served as one of the project&#39;s information and involvement channels.
1490,57Utajärven kuntaTukea tutorista - virtaa verkosta!,julkaisu,"Tutorit ovat laatineet koulun G Suite for Education-alustalle websivuston, johon on koottuna ohjeistusta ja koulutusmateriaalia opettajile TVT-käytänteistä ja -sovelluksista.","Tutors have created a website for the school’s G Suite for Education platform, which includes guidelines and training material for teachers on ICT practices and applications."
1491,57Utajärven kuntaTukea tutorista - virtaa verkosta!,tutkimus,Opettajien TVT-taitojen kartoitus kahdella eri kyselyllä (Google Forms). Kyselyn pohjalta digitutorit ovat suunnanneet omaa kouluttautumistaan sekä toteuttaneet toiveiden ja tarpeiden mukaista TVT-koulutusta kollegoille.,"Mapping ICT skills of teachers with two different surveys (Google Forms). Based on the survey, digital tutors have directed their own training and implemented ICT training for colleagues in accordance with their wishes and needs."
1492,57Taipalsaaren kuntaTaipalsaaren tutoropettajien koulutus,,Tutoropettajatoiminnan käynnistäminen kunnan kouluissa ja tutoropettajan osaamisen vahvistaminen,Starting tutoring activities in municipal schools and strengthening tutoring skills
1493,57Understödsföreningen för Rudolf Steiner skolan i Helsingfors r.f.Tutorlärarnas utbildning och kompetensutveckling,tapahtuma,IKT-workshops för kollegiet,ICT workshops for the college
1494,57Understödsföreningen för Rudolf Steiner skolan i Helsingfors r.f.Tutorlärarnas utbildning och kompetensutveckling,toimintamalli,Lärare kan boka tid till digitutorn för konsultation beträffande digitala verktyg,Teachers can make an appointment at the digital tower for consultation on digital tools
1495,57Understödsföreningen för Rudolf Steiner skolan i Helsingfors r.f.Tutorlärarnas utbildning och kompetensutveckling,julkaisu,webbsida där en klass lägger upp sitt material,website where a class uploads their material
1496,57Kolarin kuntaKolarin digiloikka,,"Hankkeessa ei ole syntynyt tuotoksia, vaan merkittävin tulos on tutoropettajien kouluttautuminen.","There have been no outputs in the project, but the most significant result is the training of tutor teachers."
1497,57Kolarin kuntaKolarin digiloikka,,Keskeisin toimintamalli on tutoropettajien järjestämät vertaiskoulutukset koko henkilöstölle.  Näistä on hieman maksettu tutoropettajille.,"The most important operating model is peer training organized by tutor teachers for all staff. Of these, some have been paid to tutor teachers."
1498,57Nokian kaupunkiPirkanmaan tutoropettajien koulutusohjelma,tutkimus,"Pirkanmaan tutoropettajakoulutuksen arviointi 2017, Päivi Nilivaara ja Irmeli Halinen. Ulkoisesti tehdyssä raportissa arvioidaan Pirkanmaan alueellisen tutoropettajakoulutuksen koettua laatua ja hyötyä tutoropettajien työssä sekä kuvataan toiminnan organisoitumista kunnissa. Raportissa esitetään myös muutamia ehdotuksia tulevien koulutusten suunnittelussa ja toteutuksessa sekä tutoreiden verkostotyöskentelyssä huomioitavaksi.","Evaluation of tutor teacher training in Pirkanmaa 2017, Päivi Nilivaara and Irmeli Halinen. The external report assesses the perceived quality and benefits of Pirkanmaa&#39;s regional tutor training in the work of tutor teachers and describes the organization of activities in the municipalities. The report also makes a few suggestions to consider in the planning and implementation of future training and in the networking of tutors."
1499,57Nokian kaupunkiPirkanmaan tutoropettajien koulutusohjelma,toimintamalli,"Toimintamalli laajana verkostoyhteistyönä toteutetusta osaamisen kehittämisen hankkeesta, jossa resursseja yhdistämällä pystyttiin tuottamaan lisäarvoa. Hankkeen lähtökohdat olivat korkea laatu, verkostoituminen, osaamisen jakaminen ja valinnaisuus. Käytännössä nämä mahdollistuivat riittävän volyymin ja koulutusohjelman rakenteen avulla. Volyymi mahdollistaa korkeatasoisten asiantuntijoiden hyödyntämisen ja tutoreiden laajan verkostoitumisen sekä valinnaisuuden. Kaksiosaisen rakenne takaa yhteisen viitekehyksen ja perusvalmiudet sekä mahdollisuuden kehittymiseen omista lähtökohdista.","An operating model of a competence development project implemented as an extensive network cooperation, in which it was possible to generate added value by combining resources. The starting points of the project were high quality, networking, sharing of know-how and selectivity. In practice, these were made possible by a sufficient volume and structure of the training program. The volume enables the utilization of high-level experts and the extensive networking and optional nature of tutors. The two-part structure guarantees a common frame of reference and basic capabilities, as well as the opportunity to develop from one&#39;s own starting point."
1500,57Nokian kaupunkiPirkanmaan tutoropettajien koulutusohjelma,julkaisu,"Pirkanmaan tutoropettajien Facebook-ryhmä ajatuksien vaihtoa, yhteydenpitoa ja tiedottamista varten.","Pirkanmaa tutor teachers&#39; Facebook group for exchanging ideas, communicating and informing."
1501,57Joroisten kuntaBuustia digitutoreille,toimintamalli,Hankkeen alettua järjestettiin seudullinen tutorkoulutus Joensuun yliopiston toteuttamana.,"After the start of the project, a regional tutor training was organized by the University of Joensuu."
